NGO_name,CCReg,Contact_no,Contact,Address,longitude,latitude
AYNGARAN FOUNDATION,12344,9677772176 ,VINCE THOMAS ,"TAMIL NAGAR, OBULAPURAM AYAKUDI, PALANI, Dindigul, Tamil Nadu 624601",77.51639,10.44352
Ayushi Jan Sewa Welfare Foundation,1169,45085132 ,Manoj Kumar ,"BRAHAMPURI COLONY, RANHOLLA, KALI MATA MANDIR, NAJAFGARH ROAD,NANGLOI,NEW DELHI 110041",77.05987,28.66845
Azad India Foundation,326,"222483 , 222483 ",Pervez Raza ,"Azad Manzil,Line Mohalla,Kishanganj, Bihar 855107 ",87.91338,26.09883
"AZAD VIKLANG KALYAN SAMITI, MEGHNAGAR",9538,"8085646965 , 9827827312 ",Manoj Vasuniya ,"Railway Colony, Meghnagar, Jhabua Madhya Pradesh 457779",74.63342,22.93652
Baikunthapur Tarun Sangha,4809,9733524070 ,,"Baikunthapur, Kultali,  South 24 Parganas, Baikunthapur, Sunderban, West Bengal 743383",88.52902,21.9115
Bal Sakha,6916,"9234938631 , 7542034556 ",,"New Patliputra Colony, Patna, Bihar 800013",85.10724,25.62516
Bal Sansar Sanstha,4226,"9829011880 , 7728004090 ",Priyamvada Singh ,"Saraswati Marg, Bajaj Nagar, Jaipur Rajasthan 302015",75.8022,26.87306
BALAJEE SEWA SANSTHAN,2328,"7969675 , 8859993336 ",Mamta Thapa ,"Turner Road, Clement Town, Dehradun,Uttarakhand 248002",78.00415,30.27727
Bangalore Medical Services Trust,11937,9902234484 ,Shubha ,"New Thippasandra Main Road, HAL 3rd Stage,Thippasandra,Bengaluru Karnataka 560075",77.64753,12.96964
BARADRONE SOCIAL WELFARE INSTITUTION,4270,"9434024631 , 215032 ",,"Diamond Harbour 1, South 24 Parganas,West Bengal 743332",88.18992,22.1919
BAREFOOT EDU FOUNDATION,12343,8920702958 ,,"Ashoka Centre, L.T. Marg, Mumbai,Maharashtra 400001",72.83138,18.94566
Basudeo Bubna Memorial Trust,4275,"40400000 , 40400000 ",,"Aarey Road,Goregaon East,Mumbai Maharashtra 400063",72.85577,19.16642
Behala Institute of Allied Health Sciences,9143,"23481550 , 8697488882 ",Sanchita Mondal ,"Ho Chi Minh Sarani, Sanjib Pally, Behala, Kolkata,West Bengal 700034",88.30963,22.48582
Belda Society to Promote Awareness and Concern for Environment,9455,"9476112876 , 255042 ",,"Susinda, Belda, West Medinipur, Bengal 721424",87.35204,22.08427
BEST FOUNDATION,10889,"7799666999 , 244229 ",Suneela GA ,"Church Road, Subbaraopet, Vayu Krupa Marg, Tadepalligudem, Andhra Pradesh 534101",81.50182,16.86094
Bethany Society,807,"2210631 , 2227705 ",Prakarsh Diwaker ,"Bethany Society, Lady Veronica Lane, Laitumkhrah, Shillong, East Khasi Hills, Meghalaya 793003",91.89696,25.56947
Bhagini Nivedita Pratishthan Pune,329,"24459734 , 8275765734 ",Neelima Karkhanis ,"Bhoopati Complex, Sadashiv Peth, Pune, Maharashtra 411030",73.85045,18.50804
Bhanru Ramkrishnapur Gramin Unnayan Sanstha,9397,"9836290593 , 7890686702 ",,"Bhanru Ramkrishnapur, Bishnupur,South 24 Parganas,West Bengal 743610",88.34844,22.32347
Bharatiya Varishtha Nagarik Samiti,4679,4016048 ,Jagat Behari Agarwal ,"Kasmanda Apartments, Park Road, Hazratganj, Lucknow,Uttar Pradesh 226001",80.94701,26.84598
Bhartiya Jan Kalyan Sewa Sansthan,8301,"8874779586 , 8874779586 ",Devatadeen Pandey ,"Veerpur, Sirsiya, Shrawasti, Bhinga, Uttar Pradesh 271840",82.09573,27.79647
Bhavishya Bharat,1932,"9963722293 , 23607019 ",Hemant K Jha ,"DK Road, Ameerpet, Hyderabad, Telangana 500016",78.44907,17.44251
BHOJPUR MAHILA KALA KENDRA,6788,"7903100990 , 7903737181 ",Santosh Kumar ,"Ranjan Palace, Magistrate Colony, Ashiana, Patna, Bihar 800014",85.08049,25.61262
Bijapur Integrated Rural Development Society,720,"9448117058 , 9731341150 ",Mahantesh Agasimundin ,"Nagaling Nagar,Hungund, Bagalkot, Karnataka 587118",76.10397,16.13384
